author,n,min,avg,std,max,mine
0,50,69,309.38,414.79,1627,69
0,100,1070,5997.08,3862.91,14000,1070
0,150,169,18163.77,12462.04,37699,169
0,200,235,37360.15,29100.06,89398,235
0,250,1092,64512.23,72814.14,246431,1092
0,300,630,109406.08,95343.88,297421,630
0,350,3375,213993.23,173555.9,482938,3375
0,400,1195,281807.38,268279.43,798971,1195
0,450,492,250498.69,239526.35,699928,528
0,500,9402,644894.23,497980.48,1654935,9402
1,50,44,84.08,45.76,196,44
1,100,2952,4271,1448.03,7156,3031
1,150,16532,22051,7070.05,37208,16614
1,200,41989,52145.75,11787.57,75821,42462
1,250,86221,112899.08,29559.55,175490,87254
1,300,185111,223490.42,41876.96,312256,187858
1,350,257951,331570.25,85652.94,485948,260712
1,400,395555,502903.75,125147.96,740952,395555
1,450,623250,765826.25,164430.21,1078450,623500
1,500,819344,1028843,248617.72,1528989,821884
2,50,6696,6954.38,249.01,7358,6833
2,100,36643,37546.08,1132.95,39420,36754
2,150,95722,98162.46,3131.07,103346,95802
2,200,200906,205150.08,5789.12,214391,201307
2,250,139967,144745.62,6014.23,154506,140175
2,300,640142,651839,15306.28,676630,640980
2,350,463589,476241.23,16553.03,503064,464031
2,400,1148516,1170940.77,27481.32,1214980,1150392
2,450,560587,579902.54,22745.89,616299,561484
2,500,1473531,1512710.46,45926.18,1583131,1473531
3,50,0,0.38,0.77,2,0
3,100,0,8.31,18.39,63,0
3,150,92,140.23,57.17,280,93
3,200,0,10,24.14,84,0
3,250,0,0,0,0,0
3,300,0,0.69,2.05.2020,9,0
3,350,51689,65775.85,7019.13,75205,51689
3,400,0,26.15,41.22,127,0
3,450,19,336.46,289.98,1078,19
3,500,1151,2818.62,1153.15,5416,1321
4,50,25,51.15,24.26,109,37
4,100,117,206.46,73.19,413,139
4,150,221,315.69,106.15,610,221
4,200,221,390.46,125.43,633,221
4,250,334,547.62,251.99,1092,334
4,300,490,765.62,214.15,1218,490
4,350,540,923.15,371.61,1639,540
4,400,506,1060.85,474.44,1848,506
4,450,954,1436.69,458.66,2274,954
4,500,1126,1753.23,523.14,2701,1126
5,50,26,40.38,8.12.2020,56,35
5,100,343,412.69,48.8,519,343
5,150,523,785.69,189.26,1233,530
5,200,6458,8839.46,1689.68,11464,6458
5,250,9565,12567.23,2044.54,15562,9565
5,300,5053,6696.08,714.04,7735,5053
5,350,17110,24224.69,4733.55,34753,17110
5,400,15130,22162.23,5025.06,34356,15130
5,450,21233,30402.38,5804.29,42287,21233
5,500,10531,14349,2386.35,20109,10531
7,50,756,865.62,100.96,1009,910
7,100,6018,7289.15,913.99,8872,8282
7,150,24160,31147,5789.08,41452,39061
7,200,49832,65804.46,12430.02,85919,80493
7,250,93408,128045.54,27791.7,168738,167939
7,300,140999,192043.77,40259.74,250454,245135
7,350,251387,344225.15,72874.97,447460,443690
7,400,404179,557167.46,120908.97,731308,713917
7,450,456520,656921.85,148774.48,857911,829978
7,500,790589,1103211.38,245869.04,1448214,1449005
8,50,7113,7273.62,169.98,7519,7519
8,100,14809,15419.77,469.16,16111,16100
8,150,21650,22672.77,756.3,23682,23674
8,200,29971,32018.31,1347.5,33740,33721
8,250,38763,41708.15,2095.11,44309,44205
8,300,46963,49820.69,2114.99,52156,52109
8,350,53533,58901.54,4278.6,69563,60937
8,400,63546,68418,3364.68,72604,71593
8,450,68952,74871.62,4265.06,79126,79062
8,500,76689,84159.62,5128.05,89685,90205
9,50,17649,18201.77,804.85,20786,18358
9,100,73459,76676.38,4639.96,90687,79382
9,150,171448,178332.77,9683.75,203747,185954
9,200,310221,328607.92,22065.34,372319,354200
9,250,500136,523540.69,29122.84,577196,559261
9,300,710951,760493.46,58986.12,852286,839880
9,350,955993,1035674.62,89524.77,1168992,1159759
9,400,1272033,1375517.54,110954.98,1541392,1535932
9,450,1500207,1649441.46,163976.95,1885698,1869911
9,500,2025856,2207826.62,193981.11,2480831,2474557
10,50,35,62.92,25.26,129,60
10,100,166,274.08,78.62,477,235
10,150,278,392.15,109.57,655,441
10,200,488,729.85,233.95,1388,650
10,250,646,941.08,279.11,1605,779
10,300,1025,1389.46,358.66,2398,1183
10,350,1287,1831.46,389.67,2703,1491
10,400,1303,2107.31,621.71,3330,1859
10,450,2027,2632.85,460.62,3753,2250
10,500,2163,3184.77,733.79,4949,2338
11,50,61,101,30.06.2020,174,68
11,100,455,605.92,88.3,705,596
11,150,283,453.62,108.27,662,297
11,200,306,472.77,116.05,759,355
11,250,1066,1556.23,284.92,2036,1338
11,300,1379,2110.23,352.25,2739,1818
11,350,850,1303.77,212.03,1598,1081
11,400,1503,2402.23,531.18,3741,1979
11,450,2741,4045.54,679.18,5206,3707
11,500,2134,3129,596.04,4146,2809
12,50,23,75.77,33.02,125,33
12,100,989,1350.85,239.69,1811,1298
12,150,978,1447.85,366.19,2201,1580
